Age,Gender,Education,Marital_Status,Region,State,Farm_Size,Crop_Type,Livestock_Type,Livestock_Number,Irrigation,Crop_Cycles,Technology_Use,Previous_Loans,Loan_Amount,Repayment_Status,Savings_Behavior,Financial_Access,Annual_Income,Extension_Services,Market_Distance,Yield_Per_Season,Input_Usage,Labor,Loan_Repaid,Credit_Score
33,Female,Secondary,Married,North West,Kano,2.73,Cotton,Sheep,6,Yes,1,Yes,Yes,406007,Paid on Time,No,Yes,267717.55,No,17.84,214518.41,All,Hired,1,72.7
32,Male,Secondary,Single,North West,Kebbi,1.03,Cotton,Goats,15,Yes,1,No,Yes,409232,Defaulted,No,No,112255.71,No,10.38,187134.12,All,Hired,0,22.67
31,Male,Secondary,Single,South West,Ekiti,2.6,Maize,None,0,No,1,No,No,0,Late,Yes,Yes,241418.43,Yes,6.97,235968.9,Some,Hired,0,56.81
35,Female,Primary,Single,South East,Ebonyi,1.31,Vegetables,None,0,No,3,Yes,No,0,Paid on Time,Yes,No,300409.3,Yes,17.44,154264.07,None,Hired,1,76.03
20,Female,Primary,Divorced,South West,Osun,3.87,Cassava,Pigs,15,Yes,1,Yes,No,0,Late,Yes,No,101433.78,No,4.27,81831.37,Some,Both,0,53.82
23,Male,Secondary,Single,North East,Adamawa,2.42,Maize,Sheep,9,No,3,Yes,No,0,Paid on Time,Yes,Yes,384699.71,Yes,6.16,223884.09,Some,Family,1,77.03
19,Male,Secondary,Single,South South,Edo,-0.06,Rubber,None,0,No,2,No,Yes,490437,Paid on Time,Yes,Yes,355098.67,Yes,5.51,124513.49,All,Family,1,50.98
28,Male,Secondary,Single,South East,Imo,3.87,Oil Palm,Pigs,8,No,1,Yes,Yes,431783,Paid on Time,Yes,Yes,338961.42,No,9.79,246571.96,None,Family,1,74.6
24,Male,Secondary,Married,South East,Ebonyi,2.54,Oil Palm,None,0,No,3,Yes,No,0,Paid on Time,No,Yes,433435.03,Yes,11.4,237931.02,None,Both,1,82.17
29,Male,Secondary,Single,South South,Edo,2.33,Rice,Pigs,19,No,3,Yes,No,0,Paid on Time,Yes,Yes,270238.9,Yes,9.87,120588.18,All,Hired,1,82.4
34,Male,Secondary,Married,South West,Oyo,0.12,Cocoa,Pigs,20,Yes,2,No,No,0,Late,Yes,Yes,361971.14,Yes,12.91,139838.2,All,Both,0,52.12
19,Female,Secondary,Single,North Central,Kogi,2.46,Yam,Pigs,9,No,1,Yes,No,0,Late,Yes,Yes,445582.23,No,17.89,94942.99,All,Family,0,17.93
33,Female,Secondary,Married,South East,Anambra,2.19,Vegetables,None,0,No,2,Yes,No,0,Late,Yes,Yes,394131.06,Yes,15.17,164267.24,None,Hired,0,47.29
34,Male,Primary,Single,North West,Zamfara,2.57,Cotton,Poultry,16,No,2,No,Yes,178585,Defaulted,No,Yes,293926.86,Yes,12.99,102582.6,All,Hired,0,43.1
32,Female,Secondary,Single,North Central,Nassarawa,2.26,Soybeans,Cattle,15,No,1,Yes,Yes,225607,Paid on Time,No,No,246115.81,No,11.86,173525.74,Some,Family,1,56.26
25,Female,Primary,Married,South South,Bayelsa,2.59,Oil Palm,Pigs,7,No,3,No,Yes,251202,Late,No,No,389500.87,No,4.92,137795.98,All,Family,0,30.3
20,Male,Primary,Divorced,North Central,Niger,0.97,Maize,Pigs,16,Yes,3,Yes,No,0,Paid on Time,Yes,Yes,411336.05,Yes,16.73,189954.41,Some,Family,1,68.94
28,Female,Secondary,Married,North Central,Plateau,2.63,Soybeans,Pigs,16,No,3,No,No,0,Paid on Time,No,Yes,388523.15,No,7.4,157672.05,Some,Both,1,43.49
18,Female,Secondary,Single,North Central,Niger,1.6,Cassava,Pigs,19,No,1,No,Yes,238505,Paid on Time,Yes,Yes,481994.89,Yes,19.53,126841.62,None,Hired,1,60.09
19,Male,Primary,Divorced,North East,Bauchi,3.76,Sesame,Cattle,13,No,2,No,Yes,497415,Paid on Time,No,Yes,457301.97,Yes,14.17,232184.52,Some,Both,1,49.83
20,Male,Primary,Married,North West,Kaduna,3.63,Maize,Poultry,9,No,1,Yes,Yes,250753,Paid on Time,No,No,440752.65,No,6.67,141115.3,All,Family,1,53.43
32,Male,Tertiary,Married,North West,Sokoto,1.94,Beans,Poultry,10,Yes,3,Yes,Yes,356398,Paid on Time,Yes,Yes,347944.15,Yes,7.72,159071.33,All,Both,1,78.84
19,Female,Secondary,Married,South South,Delta,1.92,Plantain,Pigs,6,No,2,Yes,Yes,274021,Paid on Time,No,Yes,178260.39,No,17.73,112542.84,All,Family,1,76.25
33,Male,Tertiary,Married,South West,Oyo,2.17,Maize,None,0,No,2,Yes,No,0,Late,Yes,Yes,196092.64,No,14.76,131674.65,Some,Family,0,32.7
30,Female,Tertiary,Married,South East,Abia,2.09,Vegetables,Pigs,8,No,2,Yes,No,0,Paid on Time,No,Yes,472748.27,No,7.06,108136.88,All,Family,1,81.29
25,Male,Secondary,Married,South East,Enugu,1.7,Oil Palm,Poultry,6,No,1,No,Yes,254720,Paid on Time,Yes,Yes,373891.55,No,5.81,105665.95,All,Both,1,71.37
34,Male,Secondary,Single,South South,Edo,1.97,Plantain,Poultry,13,No,1,No,No,0,Defaulted,No,Yes,209031.66,Yes,13.71,199940.83,Some,Hired,0,35.65
30,Female,Secondary,Married,North East,Adamawa,1.4,Maize,Cattle,7,No,3,No,No,0,Paid on Time,Yes,Yes,188999.64,No,16.0,139067.28,All,Family,1,62.45
32,Male,Secondary,Divorced,North Central,Nassarawa,2.88,Yam,Pigs,9,Yes,3,No,Yes,377871,Late,Yes,Yes,455600.06,No,9.12,183432.74,All,Family,0,31.56
26,Male,Secondary,Single,South East,Imo,0.77,Oil Palm,Goats,8,Yes,3,Yes,No,0,Paid on Time,Yes,No,199682.02,No,11.66,176670.04,All,Family,1,88.17
34,Female,Secondary,Divorced,South East,Anambra,0.91,Rice,Poultry,20,Yes,3,No,Yes,263175,Defaulted,Yes,No,172062.95,No,3.06,139135.82,All,Family,0,39.76
30,Male,Secondary,Single,South East,Anambra,4.08,Cassava,Goats,14,No,2,Yes,Yes,390401,Paid on Time,No,No,262772.75,Yes,8.03,178766.94,None,Both,1,84.78
33,Female,Primary,Single,South East,Imo,1.47,Vegetables,Poultry,4,No,1,No,Yes,328404,Paid on Time,Yes,Yes,194344.24,No,12.08,117797.7,Some,Hired,1,57.76
33,Male,Primary,Married,South East,Imo,3.9,Oil Palm,Poultry,11,No,2,Yes,Yes,460184,Late,No,Yes,321978.43,No,4.86,145144.09,None,Family,0,54.78
19,Female,Primary,Married,South East,Abia,1.05,Cassava,None,0,Yes,3,No,No,0,Paid on Time,Yes,No,307748.05,Yes,6.51,187863.35,All,Family,1,41.36
25,Female,Secondary,Single,South South,Akwa Ibom,2.64,Rubber,Goats,1,No,2,Yes,Yes,253117,Paid on Time,No,Yes,330587.21,Yes,9.66,107431.48,Some,Both,1,49.13
25,Female,Tertiary,Single,South South,Edo,0.13,Plantain,None,0,No,2,No,Yes,55368,Paid on Time,No,No,261147.92,Yes,13.82,87938.3,Some,Family,1,75.74
24,Male,Primary,Married,North East,Adamawa,2.18,Maize,Cattle,13,Yes,3,Yes,No,0,Defaulted,Yes,Yes,348741.39,Yes,17.98,132163.07,Some,Hired,0,23.9
32,Male,Secondary,Single,North West,Kano,2.1,Groundnut,Sheep,15,No,3,Yes,No,0,Late,No,Yes,148269.38,No,16.85,221472.89,Some,Hired,0,36.56
24,Female,Tertiary,Single,South East,Ebonyi,2.15,Yam,Goats,5,No,2,Yes,No,0,Paid on Time,Yes,Yes,425481.19,No,12.5,135971.17,All,Both,1,67.97
28,Female,Secondary,Single,South East,Anambra,1.28,Rice,Poultry,10,No,2,Yes,Yes,128537,Paid on Time,No,Yes,233513.05,No,1.69,81663.41,All,Family,1,71.14
22,Male,Secondary,Single,North East,Yobe,1.67,Groundnut,Sheep,15,No,1,No,No,0,Paid on Time,Yes,No,266150.6,Yes,7.7,102372.09,All,Family,1,81.51
24,Male,Primary,Married,North East,Gombe,1.86,Groundnut,Cattle,13,Yes,3,Yes,Yes,277203,Late,No,No,373965.32,No,4.5,109395.75,Some,Family,0,58.69
32,Male,Tertiary,Single,North West,Kaduna,1.37,Beans,Goats,2,No,2,Yes,Yes,378774,Paid on Time,Yes,Yes,306992.93,Yes,2.79,192866.54,All,Family,1,42.56
20,Male,Secondary,Married,North Central,Benue,1.35,Sesame,Pigs,5,Yes,3,Yes,Yes,318508,Paid on Time,Yes,Yes,236605.46,No,17.84,107025.0,All,Hired,1,57.24
32,Male,Primary,Single,South South,Delta,2.76,Vegetables,Pigs,20,No,1,No,Yes,390130,Paid on Time,No,Yes,185409.94,Yes,9.73,126708.9,Some,Family,1,68.89
19,Male,Secondary,Married,North West,Katsina,2.01,Groundnut,Sheep,19,No,3,No,No,0,Late,Yes,No,510373.19,Yes,5.24,116150.24,None,Family,0,53.28
29,Male,Primary,Single,South West,Ogun,0.99,Plantain,None,0,Yes,2,No,Yes,137592,Paid on Time,No,Yes,265602.39,Yes,11.42,100606.33,None,Family,1,89.85
29,Male,Secondary,Single,North West,Jigawa,1.81,Millet,Poultry,2,Yes,2,Yes,No,0,Paid on Time,Yes,Yes,267829.38,No,18.11,247557.1,Some,Family,1,44.49
31,Female,Tertiary,Single,South West,Oyo,2.88,Maize,Poultry,18,No,1,Yes,No,0,Paid on Time,Yes,Yes,370187.58,No,5.99,131231.15,Some,Family,1,74.23
30,Female,Primary,Single,North Central,Kwara,1.92,Soybeans,Pigs,17,No,3,Yes,No,0,Late,Yes,Yes,-18781.15,No,3.51,112107.19,All,Hired,0,52.56
20,Female,Secondary,Married,North Central,Kogi,3.56,Cassava,Pigs,20,No,3,Yes,Yes,362877,Paid on Time,Yes,Yes,191292.76,No,17.09,25609.57,None,Both,1,63.19
18,Male,Secondary,Married,North West,Zamfara,1.21,Groundnut,Sheep,15,No,3,No,Yes,224004,Paid on Time,Yes,No,260090.11,Yes,13.4,204835.32,None,Family,1,79.83
25,Male,Tertiary,Single,North Central,Nassarawa,4.55,Rice,Goats,11,No,3,No,No,0,Paid on Time,Yes,Yes,235780.53,Yes,10.2,187824.95,All,Family,1,69.93
27,Male,Tertiary,Married,North West,Katsina,1.3,Sorghum,Goats,17,No,1,Yes,Yes,257370,Paid on Time,No,No,416245.83,Yes,5.18,231423.43,None,Family,1,58.5
30,Male,Secondary,Divorced,North Central,Kogi,1.41,Cassava,Poultry,9,No,2,Yes,No,0,Defaulted,Yes,Yes,283436.86,Yes,1.03,82227.62,Some,Family,0,42.41
27,Female,Primary,Single,South South,Bayelsa,1.43,Plantain,Poultry,6,No,2,Yes,Yes,143948,Paid on Time,Yes,Yes,223380.75,No,20.83,209527.43,None,Hired,1,52.71
35,Male,Secondary,Married,South West,Osun,1.73,Plantain,Poultry,4,No,3,Yes,No,0,Paid on Time,Yes,No,271063.56,No,16.01,165857.35,All,Family,1,71.5
35,Male,Primary,Married,South East,Ebonyi,1.02,Yam,Poultry,4,No,2,Yes,No,0,Defaulted,Yes,No,138119.47,Yes,12.64,214069.63,All,Both,0,10.65
28,Male,Secondary,Married,North West,Kano,1.45,Millet,Cattle,1,No,3,Yes,No,0,Defaulted,No,Yes,285297.46,Yes,6.8,109135.23,Some,Family,0,20.91
27,Female,Secondary,Single,South West,Oyo,2.05,Cocoa,Poultry,6,No,3,No,No,0,Paid on Time,Yes,Yes,357679.38,No,2.28,156613.64,Some,Family,1,62.09
20,Male,Primary,Single,North West,Kebbi,1.87,Beans,Cattle,15,No,3,No,Yes,253085,Paid on Time,Yes,Yes,243939.24,Yes,15.28,287536.15,None,Family,1,87.99
24,Male,Primary,Single,North East,Borno,4.1,Sesame,None,0,Yes,3,No,No,0,Paid on Time,No,No,359639.71,No,13.92,205813.78,All,Family,1,74.54
28,Male,Tertiary,Single,North West,Katsina,2.97,Maize,Sheep,5,Yes,3,Yes,No,0,Paid on Time,No,Yes,179506.44,Yes,10.26,174541.43,None,Family,1,64.52
35,Female,Secondary,Married,South West,Ogun,2.82,Oil Palm,Goats,5,Yes,2,No,No,0,Late,Yes,Yes,295191.15,No,9.61,237920.89,Some,Hired,0,40.61
35,Female,Primary,Married,North East,Gombe,2.39,Groundnut,None,0,Yes,2,Yes,No,0,Paid on Time,Yes,Yes,71028.45,Yes,10.79,150310.57,All,Hired,1,59.8
25,Male,Tertiary,Married,North Central,Niger,1.42,Yam,Poultry,14,No,3,No,No,0,Defaulted,Yes,Yes,182612.0,No,6.92,99816.94,All,Family,0,51.37
27,Male,Primary,Married,North West,Jigawa,3.18,Maize,None,0,No,1,No,No,0,Paid on Time,Yes,Yes,218013.45,Yes,11.73,275577.83,All,Family,1,64.81
23,Male,Secondary,Divorced,North Central,Plateau,1.89,Cassava,Poultry,6,Yes,2,No,Yes,115756,Paid on Time,Yes,Yes,170078.36,Yes,4.72,149235.37,Some,Family,1,80.51
33,Male,Primary,Single,North East,Gombe,1.62,Sesame,Cattle,19,No,2,Yes,No,0,Paid on Time,Yes,Yes,259663.23,Yes,2.55,154706.21,All,Family,1,80.59
21,Female,Secondary,Married,North Central,Kwara,4.3,Cassava,Cattle,15,No,2,No,Yes,159028,Late,Yes,Yes,152055.58,No,8.04,142033.23,All,Family,0,16.91
21,Male,Secondary,Single,South East,Abia,2.79,Oil Palm,Goats,13,No,3,No,No,0,Paid on Time,Yes,Yes,378581.2,No,9.14,141401.42,All,Family,1,49.12
30,Male,Secondary,Married,South East,Abia,1.01,Rice,None,0,Yes,1,Yes,No,0,Paid on Time,Yes,No,262503.59,No,16.71,115362.26,None,Both,1,49.14
21,Male,Secondary,Single,North West,Sokoto,1.01,Sorghum,Goats,6,Yes,3,No,Yes,440992,Late,No,No,296499.24,Yes,11.66,157088.29,Some,Family,0,43.47
19,Male,Primary,Single,South South,Rivers,1.17,Rice,Pigs,11,No,3,No,No,0,Defaulted,Yes,No,289076.76,Yes,15.15,193615.77,Some,Family,0,53.65
30,Male,Secondary,Single,North Central,Plateau,1.65,Cassava,None,0,Yes,3,No,No,0,Paid on Time,Yes,Yes,404999.42,Yes,6.17,30125.06,None,Both,1,47.1
35,Male,Tertiary,Single,South East,Ebonyi,2.07,Oil Palm,Pigs,20,No,3,Yes,No,0,Paid on Time,No,Yes,318729.55,Yes,10.12,136791.45,None,Family,1,57.86
35,Male,Tertiary,Married,South South,Rivers,0.86,Cocoa,Poultry,2,No,2,Yes,No,0,Late,Yes,Yes,302440.73,Yes,12.16,193909.77,All,Family,0,12.3
24,Male,Secondary,Divorced,North East,Gombe,2.79,Groundnut,Cattle,4,No,1,No,No,0,Late,Yes,Yes,287794.29,No,14.14,121926.78,None,Hired,0,53.81
18,Male,Secondary,Single,North West,Kano,1.92,Rice,Sheep,7,No,1,No,Yes,263286,Paid on Time,No,Yes,294929.08,Yes,16.26,127588.77,All,Family,1,80.75
34,Female,Tertiary,Single,North Central,Nassarawa,1.79,Sesame,None,0,No,2,No,No,0,Paid on Time,Yes,No,450421.43,No,11.44,121865.4,All,Family,1,60.17
23,Male,Tertiary,Single,South South,Edo,0.94,Oil Palm,None,0,Yes,3,Yes,No,0,Paid on Time,Yes,Yes,221015.26,Yes,11.32,234580.11,None,Family,1,75.44
23,Male,Primary,Married,North West,Sokoto,2.32,Groundnut,Poultry,17,Yes,2,No,Yes,244215,Late,Yes,Yes,211475.13,No,12.93,129379.31,All,Both,0,20.61
21,Female,Tertiary,Married,North Central,Plateau,1.84,Cassava,Cattle,1,Yes,3,No,No,0,Late,Yes,Yes,321209.34,No,8.82,81926.38,None,Hired,0,30.56
18,Male,Secondary,Single,North East,Gombe,0.74,Maize,None,0,Yes,2,Yes,Yes,415391,Defaulted,No,Yes,120689.35,No,11.75,117355.63,Some,Both,0,59.06
31,Male,Secondary,Married,North West,Kaduna,1.22,Millet,Poultry,16,No,3,No,No,0,Late,Yes,Yes,510097.88,Yes,2.99,216009.21,All,Hired,0,50.72
18,Male,Primary,Single,South East,Imo,3.18,Rice,Poultry,17,No,3,No,No,0,Paid on Time,Yes,Yes,467390.16,Yes,2.9,175677.45,All,Family,1,43.61
28,Male,Secondary,Single,North West,Kebbi,1.28,Maize,Sheep,1,Yes,1,Yes,No,0,Paid on Time,Yes,Yes,280460.96,Yes,11.6,232680.86,None,Hired,1,66.73
27,Male,Tertiary,Single,South West,Lagos,3.33,Maize,Poultry,18,No,2,No,No,0,Paid on Time,Yes,Yes,234719.15,Yes,12.04,134472.1,All,Family,1,74.57
34,Male,Secondary,Single,South South,Rivers,2.14,Rubber,Goats,14,No,1,Yes,No,0,Late,No,No,384961.2,No,1.68,202456.27,Some,Family,0,47.24
34,Male,Primary,Single,South East,Enugu,0.97,Vegetables,Poultry,1,No,3,No,No,0,Paid on Time,Yes,No,540074.5,Yes,5.58,20579.17,None,Hired,1,75.36
29,Male,Primary,Single,North Central,Niger,2.75,Sesame,Cattle,2,No,2,Yes,No,0,Paid on Time,No,No,181253.46,No,0.7,193212.18,Some,Family,1,84.87
29,Female,Secondary,Single,South East,Ebonyi,2.24,Vegetables,Pigs,18,No,3,No,Yes,465685,Paid on Time,No,Yes,165386.4,No,14.12,184159.55,All,Family,1,50.59
28,Female,Tertiary,Married,South East,Anambra,0.91,Oil Palm,Pigs,8,No,2,No,Yes,474041,Paid on Time,No,Yes,210388.5,Yes,22.42,212630.79,Some,Family,1,75.59
21,Male,Primary,Single,South East,Imo,1.17,Oil Palm,None,0,No,3,No,No,0,Paid on Time,Yes,Yes,358344.3,No,12.77,122589.99,All,Family,1,61.81
31,Female,Secondary,Married,South East,Imo,1.75,Rice,None,0,Yes,2,No,Yes,261655,Paid on Time,Yes,No,386163.47,Yes,18.22,168032.39,Some,Family,1,56.86
24,Male,Secondary,Single,South South,Bayelsa,1.28,Cassava,Poultry,6,No,2,Yes,No,0,Paid on Time,Yes,Yes,239009.92,No,15.89,139371.07,All,Family,1,42.0
35,Male,Secondary,Single,North West,Jigawa,2.89,Maize,Poultry,3,Yes,3,No,No,0,Defaulted,No,Yes,327179.57,No,14.31,79188.65,Some,Family,0,47.89
33,Male,Tertiary,Single,South East,Enugu,2.87,Vegetables,None,0,No,2,Yes,Yes,454427,Paid on Time,Yes,Yes,296959.72,No,11.2,169982.46,Some,Both,1,43.99
22,Male,Tertiary,Single,North Central,Nassarawa,1.54,Soybeans,None,0,No,3,No,No,0,Paid on Time,Yes,Yes,341144.83,No,13.82,206368.7,All,Family,1,77.82
21,Male,Secondary,Single,North Central,FCT,1.64,Yam,Goats,1,Yes,3,No,Yes,271439,Defaulted,Yes,No,99254.31,No,7.07,199716.8,All,Family,0,54.26
29,Male,Secondary,Married,North East,Borno,1.77,Groundnut,Cattle,9,No,2,Yes,No,0,Paid on Time,Yes,No,167380.18,No,13.25,190560.18,All,Family,1,54.14
21,Female,Primary,Single,North West,Kano,0.56,Sorghum,Poultry,12,No,1,No,Yes,306681,Defaulted,Yes,Yes,247610.02,No,17.79,73476.93,Some,Hired,0,56.22
22,Male,Secondary,Married,North Central,Kwara,2.22,Maize,Pigs,20,No,2,No,No,0,Paid on Time,No,Yes,405618.41,No,8.59,154924.92,All,Both,1,61.04
34,Female,Secondary,Married,North Central,Benue,1.87,Rice,Cattle,2,No,2,No,No,0,Paid on Time,No,Yes,410494.19,Yes,0.99,215981.78,None,Family,1,81.32
32,Female,Secondary,Single,South East,Ebonyi,3.24,Vegetables,Poultry,20,No,1,Yes,Yes,423513,Paid on Time,No,Yes,301008.3,Yes,7.58,101687.68,None,Family,1,62.84
30,Male,Secondary,Single,North Central,Nassarawa,3.34,Cassava,Goats,9,No,1,No,Yes,80270,Paid on Time,Yes,Yes,203630.99,No,9.51,94602.92,Some,Family,1,54.51
18,Male,Secondary,Married,South East,Enugu,2.06,Oil Palm,Poultry,18,No,3,Yes,No,0,Defaulted,No,Yes,133284.37,Yes,11.22,95489.58,All,Family,0,30.25
30,Male,Secondary,Single,North East,Taraba,1.79,Millet,Cattle,1,No,3,Yes,Yes,126050,Late,Yes,No,182684.34,Yes,6.0,86778.75,None,Hired,0,57.42
27,Female,Secondary,Single,South East,Enugu,1.66,Rice,Pigs,7,No,1,Yes,No,0,Defaulted,Yes,No,135744.66,Yes,9.62,142624.02,All,Family,0,14.53
29,Male,Tertiary,Married,North East,Yobe,1.94,Cowpea,Goats,19,No,3,Yes,No,0,Paid on Time,Yes,Yes,282233.67,Yes,4.52,179570.78,None,Hired,1,83.17
34,Male,Tertiary,Married,North Central,Kogi,1.16,Rice,Cattle,7,Yes,2,Yes,No,0,Late,Yes,Yes,442449.58,No,19.79,157188.47,None,Family,0,54.45
28,Male,Primary,Single,North East,Yobe,1.64,Millet,Cattle,2,No,1,Yes,Yes,326601,Paid on Time,Yes,Yes,275531.55,Yes,9.66,168198.53,Some,Hired,1,79.32
26,Female,Secondary,Single,North East,Gombe,1.54,Sorghum,Sheep,7,No,2,Yes,Yes,176044,Paid on Time,No,Yes,318568.86,Yes,10.9,172128.62,All,Family,1,57.39
24,Male,Tertiary,Single,North East,Bauchi,1.01,Cowpea,None,0,No,2,Yes,No,0,Paid on Time,No,No,393403.38,Yes,0.9,124275.69,None,Family,1,53.39
30,Female,Tertiary,Single,South South,Rivers,0.87,Cassava,Goats,8,Yes,1,No,No,0,Paid on Time,Yes,No,412790.9,Yes,15.7,274943.37,Some,Family,1,61.56
20,Male,Secondary,Married,South South,Akwa Ibom,2.17,Vegetables,Goats,13,No,2,Yes,Yes,493942,Paid on Time,Yes,No,395532.38,Yes,7.75,157666.43,Some,Hired,1,86.39
23,Female,Primary,Married,North East,Yobe,2.59,Cowpea,Sheep,11,Yes,1,No,No,0,Paid on Time,Yes,Yes,368022.04,Yes,6.64,161163.54,Some,Family,1,67.27
27,Male,Tertiary,Single,South South,Bayelsa,2.19,Cassava,None,0,No,2,No,No,0,Paid on Time,No,No,210647.35,No,6.67,159895.83,All,Family,1,52.87
27,Female,Primary,Single,North West,Sokoto,2.46,Rice,None,0,No,1,No,Yes,243646,Paid on Time,Yes,No,-4592.88,No,1.3,97376.0,All,Family,1,72.32
20,Male,Primary,Married,South South,Akwa Ibom,2.52,Rice,Goats,1,Yes,2,No,No,0,Paid on Time,Yes,Yes,449541.37,Yes,11.0,180445.27,All,Hired,1,43.3
23,Female,Tertiary,Married,South South,Cross River,2.57,Oil Palm,None,0,No,3,Yes,Yes,446965,Paid on Time,No,Yes,372823.58,No,1.09,38476.6,All,Hired,1,65.05
31,Female,Secondary,Single,North West,Katsina,0.8,Millet,Sheep,6,Yes,2,No,No,0,Paid on Time,No,Yes,423534.87,Yes,5.61,154994.35,None,Hired,1,49.33
30,Male,Primary,Married,South West,Ondo,2.1,Plantain,Goats,20,No,1,No,Yes,419705,Defaulted,No,Yes,240667.51,Yes,12.52,189557.34,Some,Both,0,27.62
19,Female,Tertiary,Divorced,North West,Zamfara,0.85,Maize,Poultry,14,Yes,3,No,Yes,62224,Late,Yes,Yes,346577.33,No,9.83,253047.97,None,Family,0,25.71
30,Male,Primary,Married,North Central,FCT,1.47,Rice,Goats,1,No,2,Yes,Yes,348977,Defaulted,No,Yes,234612.01,Yes,5.9,192166.51,None,Hired,0,39.68
32,Male,Tertiary,Divorced,South South,Rivers,0.33,Cassava,None,0,No,1,Yes,No,0,Defaulted,Yes,No,270847.87,Yes,10.75,169015.34,All,Family,0,25.19
33,Male,Secondary,Single,North West,Kaduna,2.35,Groundnut,Goats,4,Yes,1,No,Yes,333445,Paid on Time,Yes,Yes,210216.99,Yes,6.42,115578.23,All,Family,1,48.61
33,Male,Primary,Single,South West,Ekiti,0.95,Cassava,Poultry,17,Yes,2,No,No,0,Paid on Time,Yes,No,247434.66,Yes,10.64,154348.51,All,Hired,1,61.51
20,Male,Primary,Single,North East,Adamawa,2.64,Groundnut,Goats,12,No,2,Yes,No,0,Paid on Time,No,Yes,166179.33,No,9.6,134976.7,Some,Family,1,81.15
28,Female,Secondary,Married,South South,Edo,1.76,Rice,Goats,16,No,1,No,Yes,190319,Paid on Time,No,Yes,343429.61,Yes,13.11,214431.16,None,Family,1,76.72
35,Male,Tertiary,Single,South East,Imo,1.75,Cassava,Poultry,3,No,2,No,No,0,Defaulted,Yes,Yes,233709.33,Yes,12.02,104385.25,None,Hired,0,22.19
31,Male,Primary,Married,North Central,Plateau,2.0,Soybeans,Goats,13,Yes,2,No,No,0,Paid on Time,No,Yes,465144.98,No,14.63,161433.15,Some,Hired,1,71.5
35,Male,Primary,Single,North Central,Benue,1.65,Soybeans,None,0,Yes,3,Yes,No,0,Late,No,Yes,348925.45,No,3.87,214324.1,All,Hired,0,57.27
35,Male,Secondary,Married,South East,Abia,3.67,Cassava,Goats,19,Yes,3,Yes,Yes,268976,Paid on Time,Yes,Yes,258852.88,No,17.53,180758.72,All,Hired,1,64.4
33,Female,Secondary,Single,South East,Abia,1.6,Yam,Goats,18,No,2,Yes,No,0,Paid on Time,Yes,Yes,229506.21,Yes,11.41,141363.16,All,Both,1,66.65
31,Male,Primary,Single,South South,Edo,2.25,Oil Palm,Poultry,3,No,1,Yes,Yes,65791,Paid on Time,No,No,219772.0,No,8.53,103165.33,All,Both,1,71.56
20,Male,Secondary,Divorced,North East,Bauchi,2.47,Groundnut,Sheep,19,Yes,1,No,Yes,198469,Paid on Time,Yes,No,297982.33,Yes,14.49,206510.99,All,Family,1,42.08
26,Male,Tertiary,Divorced,South West,Osun,0.73,Vegetables,Poultry,10,Yes,2,No,No,0,Defaulted,No,No,175270.74,Yes,11.56,105716.89,None,Hired,0,16.7
18,Male,Tertiary,Single,North East,Borno,1.91,Cowpea,None,0,No,3,No,Yes,55796,Paid on Time,No,Yes,455630.74,No,0.11,204206.65,None,Family,1,89.14
19,Female,Primary,Single,South East,Ebonyi,0.32,Yam,Goats,11,No,1,Yes,No,0,Paid on Time,No,Yes,405453.58,No,4.06,147505.99,Some,Family,1,83.62
29,Female,Primary,Married,South South,Bayelsa,2.47,Cocoa,None,0,Yes,1,No,No,0,Defaulted,Yes,Yes,446716.27,No,10.69,95693.69,Some,Family,0,30.9
30,Male,Tertiary,Divorced,South West,Ondo,1.87,Maize,None,0,No,2,Yes,No,0,Defaulted,No,Yes,308025.1,Yes,5.38,92050.27,None,Both,0,29.26
22,Male,Secondary,Single,South South,Bayelsa,3.03,Rubber,Pigs,4,Yes,1,Yes,Yes,106096,Paid on Time,Yes,Yes,379670.19,No,16.68,168994.6,All,Both,1,81.6
35,Male,Tertiary,Married,North West,Kaduna,2.63,Beans,None,0,No,2,Yes,No,0,Paid on Time,Yes,Yes,539155.48,Yes,9.74,143183.46,Some,Hired,1,57.83
35,Male,Primary,Single,North Central,Niger,0.21,Rice,Goats,17,No,1,No,Yes,377565,Paid on Time,No,Yes,298013.9,No,13.3,109802.58,All,Both,1,74.17
31,Female,Secondary,Single,North Central,Kogi,1.02,Cassava,Goats,7,No,2,Yes,No,0,Defaulted,Yes,No,208188.48,No,14.62,97468.83,Some,Both,0,23.25
27,Male,Primary,Single,South West,Oyo,3.1,Oil Palm,None,0,No,3,No,Yes,472275,Paid on Time,Yes,Yes,262018.86,No,5.97,153784.75,All,Family,1,74.97
28,Male,Tertiary,Married,South East,Enugu,2.32,Vegetables,Goats,6,Yes,2,Yes,No,0,Defaulted,Yes,Yes,252146.17,Yes,6.61,170777.54,None,Family,0,25.06
30,Female,Primary,Single,North West,Jigawa,2.31,Sorghum,Poultry,18,No,2,Yes,No,0,Paid on Time,No,Yes,161769.74,No,3.78,161643.4,All,Family,1,69.67
24,Male,Secondary,Single,South East,Abia,1.78,Rice,Goats,17,Yes,2,No,No,0,Paid on Time,Yes,Yes,262534.6,No,6.14,230476.03,None,Hired,1,44.52
